Xu_pavl_634993802223476562_8498	Крапивин Владимир Федорович
Xu_pavl_634993802223476562_8547	Шапиро Самуил Иосифович
Xu_pavl_634993802223476562_8560	Сочава Виктор Борисович
Xu_pavl_634993802223476562_8578	Горстко Александр Борисович
Xu_pavl_634993802223476562_8604	Родин Леонид Ефимович
Xu_pavl_634993802223476562_8651	Таргульян Виктор Оганесович
Xu_kray_634993802507080078_2719	Вернадский Владимир Иванович
Xu_pavl_634993802223476562_8684	Лавренко Евгений михайлович
Xu_pavl_634993802223476562_8690	Тихомиров Борис Анатолевич
Xu_pavl_634993802223476562_8733	Анисимов Сергей Иванович
Xu_pavl_634993802223476562_8816	Шабат Борис Владимирович
Xu_pavl_634993802223476562_8833	Сёмкин Борис
Xu_pavl_634993802223476562_8851	Неунылов Борис Александрович
Xu_pavl_634993802223476562_8877	Воронов Авенир Аркадьевич
Xu_pavl_634993802223476562_8912	Барсагаева Елена Петровна
Xu_pavl_634993802223476562_8934	Галазий Григорий Иванович
Xu_pavl_634993802223476562_9061	Сорокин Юрий Иванович
Xu_pavl_634993802223476562_9073	Петипа Тамара Сергеевна
Xu_pavl_634993802223476562_9122	Кобленц-Мишке Ольга Иоэльевна
Xu_pavl_634993802223476562_9166	Гершман А.В.
Xu_kray_634993802507080078_3311	Хованская Елена Георгиевна
Xu_pavl_634993802223476562_9199	Лупанов Олег Борисович
Xu_pavl_634993802223476562_7060	Полуэктов Ратмир Александрович
Xu_pavl_634993802223476562_9210	Швытов Иван Алексеевич
Xu_pavl_634993802223476562_9223	Заславский Б.Г.
Xu_pavl_634993802223476562_9257	Вол Илья Абрамович
Xu_pavl_634993802223476562_1139	Гинзбург Лев Рувимович
Xu_pavl_634993802223476562_9282	Юзефович Г.И.
Xu_pavl_634993802223476562_9326	Кравец Галина Петровна
Xu_pavl_634993802223476562_9380	Геодакян Виген Артаваздович
Xu_pavl_634993802223476562_9314	Фукшанский Л.Я.
Xu_kray_634993802507080078_5086	Дубинин Николай Петрович
Xu_kray_634993802507080078_2688	Глембоцкий Яков Лазаревич
Xu_pavl_634993802223476562_9566	Парин Василий Васильевич
Xu_pavl_634993802223476562_9596	Михайлов Иван Фёдорович
Xu_pavl_634993802223476562_9636	Камалян Ваграм Шаваршович
Xu_pavl_634993802223476562_9665	Воронин Вячеслав Николаевич
Xu_pavl_634993802223476562_9727	Шмальгаузен Иван Иванович
Xu_pavl_634993802223476562_9724	Терентьев Павел Викторович
Xu_pavl_634993802223476562_9827	Бабков Василий Васильевич
Xu_pavl_634993802223476562_9853	Богданов Александр Александрович
Xu_pavl_634993802223476562_9906	Виленкин Б.Я.
Xu_pavl_634993802223476562_9960	Ромашов Дмитрий Дмитриевич
Xu_pavl_634993802223476562_9958	Головинская К.А.
Xu_pavl_634993802223476562_9978	Алиханов Абрам Исаакович
Xu_zoya_634993802406113281_1949	Алиханян Сос Исаакович
Xu_pavl_634993802223476562_10011	Щербаков Евгений Сергеевич
Xu_pavl_634993802223476562_10036	Макаров Пётр Осипович
Xu_pavl_634993802223476562_10052	Гершензон Сергей Михайлович
Xu_pavl_634993802223476562_10050	Шкурба Виктор Васильевич
Xu_pavl_634993802223476562_10075	Цейтлин Павел Иосифович
Xu_pavl_634993802223476562_10070	Лучник Николай Викторович
Xu_pavl_634993802223476562_10123	Соколов В.А.
Xu_pavl_634993802223476562_10285	Смирнов Николай Васильевич
Xu_pavl_634993802223476562_10353	Алиев Гуссейн
Xu_kray_634993802507080078_7581	Зенкевич Лев Александрович
Xu_pavl_634993802223476562_10395	Нюберг Николай Дмитриевич
Xu_pavl_634993802223476562_10405	Быховский Борис Евсеевич
Xu_pavl_634993802223476562_10434	Реймерс Фёдор Эдуардович
Xu_pavl_634993802223476562_10477	Лопашов Георгий Викторович
Xu_pavl_634993802223476562_10521	Садовский Вадим Николаевич
Xu_pavl_634993802223476562_10530	Алексеева Н.
Xu_pavl_634993802223476562_10538	Патон Борис Евгеньевич
Xu_pavl_634993802223476562_10546	Ахмеров Рашид Ибрагимович
Xu_pavl_634993802223476562_10582	Новик Илья Борисович
Xu_pavl_634993802223476562_10602	Волобуев Владимир Родионович
Xu_pavl_634993802223476562_10634	Наан Густав Иоганнович
Xu_pavl_634993802223476562_10639	Рузавин Георгий Иванович
Xu_pavl_634993802223476562_10662	Китов Анатолий Иванович
Xu_pavl_634993802223476562_10687	Копнин Павел Васильевич
Xu_pavl_634993802223476562_10717	Вентцель Елена Сергеевна
